"회계연도","소관명","회계명","계정명","수입관명","수입항명","수입목명","금년도정부안(천원)","금년도국회확정(천원)"
"2016","감사원","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","20000","20000"
"2016","감사원","일반회계",,"수입대체경비수입","잡수입","기타잡수입","390000","390000"
"2016","감사원","일반회계",,"재산수입","관유물대여료","건물대여료","12000","12000"
"2016","감사원","일반회계",,"재산수입","관유물대여료","토지대여료","7000","7000"
"2016","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","5000","5000"
"2016","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","6000","6000"
"2016","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","2000","2000"
"2016","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","27467000","27467000"
"2016","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","121000","121000"
"2016","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산수입","1000","1000"
"2016","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","6669376","6669376"
"2016","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","7000","7000"
"2016","경찰청","경찰병원","손익계정","전년도이월금","전년도이월금","전년도이월금","680000","680000"
"2016","경찰청","경찰병원","자본계정","전년도이월금","전년도이월금","전년도이월금","37000","37000"
"2016","경찰청","일반회계",,"경상이전수입","가산금","가산금","37437000","37437000"
"2016","경찰청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","12301000","12301000"
"2016","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","620000000","620000000"
"2016","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","147509000","147509000"
"2016","경찰청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","100000","100000"
"2016","경찰청","일반회계",,"경상이전수입","변상금및위약금","변상금","389000","389000"
"2016","경찰청","일반회계",,"경상이전수입","변상금및위약금","위약금","956000","956000"
"2016","경찰청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","4580000","4580000"
"2016","경찰청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","382000","382000"
"2016","경찰청","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","1101000","1101000"
"2016","경찰청","일반회계",,"재산수입","관유물대여료","건물대여료","1279000","1279000"
"2016","경찰청","일반회계",,"재산수입","관유물대여료","토지대여료","651000","651000"
"2016","경찰청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","703000","703000"
"2016","경찰청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","801000","801000"
"2016","경찰청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","2409000","2409000"
"2016","고용노동부","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","203000","203000"
"2016","고용노동부","일반회계",,"경상이전수입","가산금","가산금","145000","145000"
"2016","고용노동부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","41900000","41900000"
"2016","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","78000","78000"
"2016","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","37900000","37900000"
"2016","고용노동부","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","20000","20000"
"2016","고용노동부","일반회계",,"경상이전수입","변상금및위약금","위약금","10000","10000"
"2016","고용노동부","일반회계",,"재산수입","관유물대여료","건물대여료","22000","22000"
"2016","고용노동부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1630000","1630000"
"2016","고용노동부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","4000","4000"
"2016","고용노동부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","5000","5000"
"2016","공정거래위원회","일반회계",,"경상이전수입","가산금","가산금","247000","247000"
"2016","공정거래위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","939000","939000"
"2016","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","629161000","629161000"
"2016","공정거래위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","2877000","2877000"
"2016","공정거래위원회","일반회계",,"경상이전수입","변상금및위약금","위약금","1000","1000"
"2016","공정거래위원회","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","2000","2000"
"2016","관세청","일반회계",,"경상이전수입","가산금","가산금","4719000","4719000"
"2016","관세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","365000","365000"
"2016","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","1601000","1601000"
"2016","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","16791000","16791000"
"2016","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","3549000","3549000"
"2016","관세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","5579000","5579000"
"2016","관세청","일반회계",,"경상이전수입","변상금및위약금","위약금","104000","104000"
"2016","관세청","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","51000","51000"
"2016","관세청","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","2177000","2177000"
"2016","관세청","일반회계",,"수입대체경비수입","잡수입","기타잡수입","29000","29000"
"2016","관세청","일반회계",,"재산수입","관유물대여료","건물대여료","177000","177000"
"2016","관세청","일반회계",,"재산수입","관유물대여료","토지대여료","21000","21000"
"2016","관세청","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","12000","12000"
"2016","관세청","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","5578000","5578000"
"2016","관세청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","742000","769000"
"2016","교육부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","83470000","83470000"
"2016","교육부","일반회계",,"경상이전수입","변상금및위약금","변상금","150000","150000"
"2016","교육부","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","58000","58000"
"2016","교육부","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","147000","147000"
"2016","교육부","일반회계",,"관유물매각대","재고자산매각대및유동자산","재고자산매각대","61000","61000"
"2016","교육부","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","7121000","7095000"
"2016","교육부","일반회계",,"수입대체경비수입","잡수입","기타잡수입","7379000","7379000"
"2016","교육부","일반회계",,"융자및전대차관원금회수","전대차관원금회수","기타민간전대차관원금회수","51000","51000"
"2016","교육부","일반회계",,"재산수입","관유물대여료","건물대여료","6779000","6779000"
"2016","교육부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","90000","90000"
"2016","교육부","일반회계",,"재산수입","관유물대여료","토지대여료","720000","720000"
"2016","교육부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","5518000","5518000"
"2016","교육부","일반회계",,"재산수입","전대차관이자수입","기타민간전대차관이자수입","3000","3000"
"2016","교육부","일반회계",,"재화및용역판매수입","입학금및수업료","수업료","8023000","8023000"
"2016","교육부","일반회계",,"재화및용역판매수입","입학금및수업료","입학금","44000","44000"
"2016","교육부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","1497000","1497000"
"2016","교육부","지역발전특별회계","경제발전계정","경상이전수입","기타경상이전수입","기타경상이전수입","9450000","9450000"
"2016","교육부","지역발전특별회계","경제발전계정","재산수입","기타이자수입및재산수입","기타재산수입","769000","769000"
"2016","국가보훈처","에너지및자원사업특별회계","투자계정","경상이전수입","기타경상이전수입","기타경상이전수입","82000","82000"
"2016","국가보훈처","에너지및자원사업특별회계","투자계정","재산수입","기타이자수입및재산수입","기타재산수입","28000","28000"
"2016","국가보훈처","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","2578000","2578000"
"2016","국가보훈처","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","24000","24000"
"2016","국가보훈처","일반회계",,"경상이전수입","변상금및위약금","위약금","13000","13000"
"2016","국가보훈처","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","24000","24000"
"2016","국가보훈처","일반회계",,"재산수입","관유물대여료","건물대여료","77000","77000"
"2016","국가보훈처","일반회계",,"재산수입","관유물대여료","토지대여료","1000","1000"
"2016","국가보훈처","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","364000","364000"
"2016","국가보훈처","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","1000","1000"
"2016","국가보훈처","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","11000","11000"
"2016","국가인권위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","10000","10000"
"2016","국가인권위원회","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","2000","2000"
"2016","국가인권위원회","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","10000","10000"
"2016","국가정보원","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1310500","1310500"
"2016","국민권익위원회","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","110000","459970"
"2016","국민권익위원회","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","3000","3000"
"2016","국민권익위원회","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","10000","10000"
"2016","국민안전처","일반회계",,"경상이전수입","가산금","가산금","11000","11000"
"2016","국민안전처","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","11277000","11277000"
"2016","국민안전처","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","254000","254000"
"2016","국민안전처","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","408000","408000"
"2016","국민안전처","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","19000","19000"
"2016","국민안전처","일반회계",,"경상이전수입","변상금및위약금","변상금","458000","458000"
"2016","국민안전처","일반회계",,"경상이전수입","변상금및위약금","위약금","719000","719000"
"2016","국민안전처","일반회계",,"관유물매각대","고정자산매각대","기계기구매각대","111000","111000"
"2016","국민안전처","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","510000","510000"
"2016","국민안전처","일반회계",,"재산수입","관유물대여료","건물대여료","204000","204000"
"2016","국민안전처","일반회계",,"재산수입","관유물대여료","토지대여료","11000","11000"
"2016","국민안전처","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","942000","942000"
"2016","국민안전처","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","554000","554000"
"2016","국민안전처","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","572000","572000"
"2016","국민안전처","혁신도시건설특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","5440000","0"
"2016","국방부","국방·군사시설이전특별회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","506000","506000"
"2016","국방부","국방·군사시설이전특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","315543000","315543000"
"2016","국방부","국방·군사시설이전특별회계",,"재산수입","기타이자수입및재산수입","기타재산수입","200000","200000"
"2016","국방부","국방·군사시설이전특별회계",,"전년도이월금","전년도이월금","전년도이월금","5800000","5800000"
"2016","국방부","국방·군사시설이전특별회계",,"정부내부수입및기타","예탁이자수입","기금예탁이자수입","8139000","5233000"
"2016","국방부","일반회계",,"경상이전수입","가산금","가산금","94000","94000"
"2016","국방부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","85277000","85277000"
"2016","국방부","일반회계",,"경상이전수입","벌금,몰수금및과태료","몰수금및추징금","187000","187000"
"2016","국방부","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","4575000","4575000"
"2016","국방부","일반회계",,"경상이전수입","변상금및위약금","변상금","2078000","2078000"
"2016","국방부","일반회계",,"경상이전수입","변상금및위약금","위약금","16000000","16000000"
"2016","국방부","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","261000","261000"
"2016","국방부","일반회계",,"재산수입","관유물대여료","건물대여료","1247000","1406000"
"2016","국방부","일반회계",,"재산수입","관유물대여료","기타관유물대여료","1336000","1336000"
"2016","국방부","일반회계",,"재산수입","관유물대여료","토지대여료","4783000","4783000"
"2016","국방부","일반회계",,"재산수입","기타이자수입및재산수입","기타재산수입","1606000","1606000"
"2016","국방부","일반회계",,"재화및용역판매수입","면허료및수수료","면허료및수수료","517000","517000"
"2016","국방부","일반회계",,"재화및용역판매수입","병원수입","병원수입","9888000","9888000"
"2016","국방부","일반회계",,"재화및용역판매수입","입학금및수업료","수업료","424000","424000"
"2016","국방부","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","30094000","30094000"
"2016","국방부","일반회계",,"재화및용역판매수입","항공항만및용수수입","항공항만수입","961000","961000"
"2016","국방부","일반회계",,"정부내부수입및기타","전입금","기금전입금","21426000","21426000"
"2016","국방부","주한미군기지이전특별회계",,"경상이전수입","가산금","가산금","7000","7000"
"2016","국방부","주한미군기지이전특별회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","1100000","1100000"
"2016","국방부","주한미군기지이전특별회계",,"경상이전수입","변상금및위약금","변상금","35000","35000"
"2016","국방부","주한미군기지이전특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","139100000","139100000"
"2016","국방부","주한미군기지이전특별회계",,"재산수입","관유물대여료","토지대여료","5446000","5446000"
"2016","국방부","주한미군기지이전특별회계",,"재산수입","기타이자수입및재산수입","기타재산수입","920000","920000"
"2016","국방부","주한미군기지이전특별회계",,"재화및용역판매수입","잡수입","기타잡수입","107000","107000"
"2016","국방부","주한미군기지이전특별회계",,"정부내부수입및기타","예수금","기금예수금","538483000","568747000"
"2016","국세청","일반회계",,"경상이전수입","가산금","가산금","796900000","796900000"
"2016","국세청","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","20308000","20308000"
"2016","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과징금","67000","67000"
"2016","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","97699000","97699000"
"2016","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","79166000","79166000"
"2016","국세청","일반회계",,"경상이전수입","벌금,몰수금및과태료","징계부과금","36000","36000"
"2016","국세청","일반회계",,"경상이전수입","변상금및위약금","변상금","13000","13000"
"2016","국세청","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","21000","21000"
"2016","국세청","일반회계",,"수입대체경비수입","잡수입","기타잡수입","593000","593000"
"2016","국세청","일반회계",,"재산수입","관유물대여료","건물대여료","107000","107000"
"2016","국세청","일반회계",,"재산수입","관유물대여료","토지대여료","1000","1000"
"2016","국세청","일반회계",,"재화및용역판매수입","잡수입","기타잡수입","29000","29000"
"2016","국세청","혁신도시건설특별회계",,"관유물매각대","고정자산매각대","건물매각대","5736000","5736000"
"2016","국세청","혁신도시건설특별회계",,"관유물매각대","토지및무형자산매각대","토지매각대","129546000","129546000"
"2016","국토교통부","교통시설특별회계","공항계정","경상이전수입","기타경상이전수입","기타경상이전수입","5445000","5445000"
"2016","국토교통부","교통시설특별회계","공항계정","경상이전수입","기타경상이전수입","법정부담금","8910000","8910000"
"2016","국토교통부","교통시설특별회계","공항계정","경상이전수입","벌금,몰수금및과태료","벌금및과료","151000","151000"
"2016","국토교통부","교통시설특별회계","공항계정","재산수입","관유물대여료","토지대여료","1937000","1937000"
"2016","국토교통부","교통시설특별회계","공항계정","재산수입","기타이자수입및재산수입","기타재산수입","932000","932000"
"2016","국토교통부","교통시설특별회계","공항계정","재산수입","정부출자수입","정부출자수입","222211000","222211000"
"2016","국토교통부","교통시설특별회계","공항계정","재화및용역판매수입","면허료및수수료","면허료및수수료","611000","611000"
"2016","국토교통부","교통시설특별회계","공항계정","재화및용역판매수입","항공항만및용수수입","항공항만수입","56693000","56693000"
"2016","국토교통부","교통시설특별회계","공항계정","전년도이월금","전년도이월금","전년도이월금","38932000","38932000"
"2016","국토교통부","교통시설특별회계","교통체계관리계정","경상이전수입","기타경상이전수입","기타경상이전수입","25526000","25526000"
"2016","국토교통부","교통시설특별회계","교통체계관리계정","재산수입","기타이자수입및재산수입","기타재산수입","698000","698000"
"2016","국토교통부","교통시설특별회계","교통체계관리계정","전년도이월금","전년도이월금","전년도이월금","18642000","18642000"
"2016","국토교통부","교통시설특별회계","도로계정","경상이전수입","가산금","가산금","313000","313000"
"2016","국토교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","기타경상이전수입","15388000","15388000"
"2016","국토교통부","교통시설특별회계","도로계정","경상이전수입","기타경상이전수입","법정부담금","200000","200000"
"2016","국토교통부","교통시설특별회계","도로계정","경상이전수입","벌금,몰수금및과태료","과태료","27000000","27000000"
"2016","국토교통부","교통시설특별회계","도로계정","경상이전수입","벌금,몰수금및과태료","벌금및과료","5000","5000"
"2016","국토교통부","교통시설특별회계","도로계정","경상이전수입","변상금및위약금","변상금","230000","230000"
"2016","국토교통부","교통시설특별회계","도로계정","경상이전수입","변상금및위약금","위약금","500000","500000"
"2016","국토교통부","교통시설특별회계","도로계정","관유물매각대","토지및무형자산매각대","토지매각대","4152000","4152000"
"2016","국토교통부","교통시설특별회계","도로계정","재산수입","관유물대여료","토지대여료","19119000","19119000"
"2016","국토교통부","교통시설특별회계","도로계정","재산수입","기타이자수입및재산수입","기타재산수입","3357000","3357000"
"2016","국토교통부","교통시설특별회계","도로계정","재산수입","정부출자수입","정부출자수입","30800000","30800000"
"2016","국토교통부","교통시설특별회계","도로계정","재화및용역판매수입","잡수입","기타잡수입","12588000","12588000"
"2016","국토교통부","교통시설특별회계","도로계정","전년도이월금","전년도이월금","전년도이월금","33777000","33777000"
"2016","국토교통부","교통시설특별회계","철도계정","경상이전수입","가산금","가산금","123000","123000"
"2016","국토교통부","교통시설특별회계","철도계정","경상이전수입","기타경상이전수입","기타경상이전수입","2681000","2681000"
"2016","국토교통부","교통시설특별회계","철도계정","경상이전수입","변상금및위약금","변상금","224000","224000"
"2016","국토교통부","교통시설특별회계","철도계정","관유물매각대","토지및무형자산매각대","토지매각대","38500000","38500000"
"2016","국토교통부","교통시설특별회계","철도계정","재산수입","관유물대여료","기타관유물대여료","3228000","3228000"
"2016","국토교통부","교통시설특별회계","철도계정","재산수입","관유물대여료","토지대여료","116000","116000"
"2016","국토교통부","교통시설특별회계","철도계정","재산수입","기타이자수입및재산수입","기타재산수입","2344000","2344000"
"2016","국토교통부","교통시설특별회계","철도계정","재화및용역판매수입","잡수입","기타잡수입","11122000","11122000"
"2016","국토교통부","교통시설특별회계","철도계정","전년도이월금","전년도이월금","전년도이월금","28734000","28734000"
"2016","국토교통부","일반회계",,"경상이전수입","가산금","가산금","13000","13000"
"2016","국토교통부","일반회계",,"경상이전수입","기타경상이전수입","기타경상이전수입","87270000","87270000"
"2016","국토교통부","일반회계",,"경상이전수입","기타경상이전수입","민간출연금","40000000","40000000"
"2016","국토교통부","일반회계",,"경상이전수입","벌금,몰수금및과태료","과태료","379000","379000"
"2016","국토교통부","일반회계",,"경상이전수입","벌금,몰수금및과태료","벌금및과료","466000","466000"
"2016","국토교통부","일반회계",,"경상이전수입","변상금및위약금","변상금","244000","244000"
"2016","국토교통부","일반회계",,"경상이전수입","변상금및위약금","위약금","407000","407000"
"2016","국토교통부","일반회계",,"관유물매각대","고정자산매각대","건물매각대","244000","244000"
"2016","국토교통부","일반회계",,"관유물매각대","고정자산매각대","기타고정자산매각대","221000","221000"
"2016","국토교통부","일반회계",,"관유물매각대","토지및무형자산매각대","토지매각대","2615000","2615000"
"2016","국토교통부","일반회계",,"수입대체경비수입","면허료및수수료","면허료및수수료","576000","576000"
"2016","국토교통부","일반회계",,"수입대체경비수입","잡수입","기타잡수입","1439000","1439000"
"2016","국토교통부","일반회계",,"재산수입","관유물대여료","건물대여료","188000","188000"
